TableName;ApproxRowCount;CreatedDate;ColumnCount
T_HistoryEK;LieferZeit;20;float;;53;YES
T_HistoryEK;BewertungsPreis;21;float;;53;YES
T_HistoryEK;LiefermengeMinimumToleranz;22;int;;10;YES
T_HistoryEK;LiefermengeMaximumToleranz;23;int;;10;YES
T_HistoryEKImport;IdHistoryEKImport;1;int;;10;NO
T_HistoryEKImport;IdArtikelvarianten;2;int;;10;NO
T_HistoryEKImport;IdAdressen;3;int;;10;NO
T_HistoryEKImport;IdVpkVorschrift;4;int;;10;NO
T_HistoryEKImport;GueltigabDatum;5;datetime;;;NO
T_HistoryEKImport;Bemerkung;6;nvarchar;255;;NO
T_HistoryEKImport;LiefArtNr;7;nvarchar;100;;NO
T_HistoryEKImport;LiefArtBez;8;nvarchar;100;;NO
T_HistoryEKImport;FWEKPreis;9;float;;53;NO
T_HistoryEKImport;LieferZeit;10;float;;53;NO
T_HistoryEKImport;BewertungsPreis;11;float;;53;NO
T_HistoryEKImport;LiefermengeMinimumToleranz;12;int;;10;NO
T_HistoryEKImport;LiefermengeMaximumToleranz;13;int;;10;NO
T_HistoryEKKunden;IdHistoryEKKunde;1;int;;10;NO
T_HistoryEKKunden;IdHistoryEK;2;int;;10;NO
T_HistoryEKKunden;IdAdressen;3;int;;10;NO
T_HistoryEKKunden;EKPreis;4;float;;53;NO
T_HistoryEKKunden;FWEKPreis;5;float;;53;NO
T_HistoryEKKunden;KursFW;6;float;;53;NO
T_HistoryEKKunden;KursDatum;7;datetime;;;NO
T_HistoryEKKunden;Bemerkung;8;nvarchar;255;;NO
T_HistoryEKKunden;Add_User;9;nvarchar;50;;NO
T_HistoryEKKunden;Add_Date;10;datetime;;;NO
T_HistoryEKKunden;Upd_User;11;nvarchar;50;;YES
T_HistoryEKKunden;Upd_Date;12;datetime;;;YES
T_HistoryEKProtokoll;IdHistoryEKProtokoll;1;int;;10;NO
T_HistoryEKProtokoll;IdHistoryEK;2;int;;10;NO
T_HistoryEKProtokoll;IdArtikelvarianten;3;int;;10;NO
T_HistoryEKProtokoll;IdAdressen;4;int;;10;NO
T_HistoryEKProtokoll;IdBerechnung;5;int;;10;NO
T_HistoryEKProtokoll;Faktor;6;float;;53;NO
T_HistoryEKProtokoll;GueltigAbDatumAlt;7;datetime;;;NO
T_HistoryEKProtokoll;GueltigAbDatumNeu;8;datetime;;;NO
T_HistoryEKProtokoll;EKPreisAlt;9;float;;53;NO
T_HistoryEKProtokoll;EKPreisNeu;10;float;;53;NO
T_HistoryEKProtokoll;PreisAusZentralDB;11;int;;10;NO
T_HistoryEKProtokoll;Add_User;12;nchar;50;;NO
T_HistoryEKProtokoll;Add_Date;13;datetime;;;NO
T_HistoryEKProtokoll;Upd_User;14;nchar;50;;YES
T_HistoryEKProtokoll;Upd_Date;15;datetime;;;YES
T_HistoryEKProtokoll;FWEKPreisAlt;16;float;;53;YES
T_HistoryEKProtokoll;FWEKPreisNeu;17;float;;53;YES
T_HistoryEKProtokoll;KursFW;18;float;;53;YES
T_HistoryEKProtokoll;KursDatum;19;datetime;;;YES
T_HistoryEKProtokoll;LieferZeitAlt;20;float;;53;YES
T_HistoryEKProtokoll;LieferZeitNeu;21;float;;53;YES
T_HistoryEKStaffel;IdHistoryEKStaffel;1;int;;10;NO
T_HistoryEKStaffel;IdHistoryEK;2;int;;10;YES
T_HistoryEKStaffel;EKPreisStaffel;3;float;;53;NO
T_HistoryEKStaffel;AbMenge;4;float;;53;NO
T_HistoryEKStaffel;MengenStaffelPflicht;5;int;;10;NO
T_HistoryEKStaffel;Bemerkung;6;nvarchar;255;;YES
T_HistoryEKStaffel;IdVpkVorschrift;7;int;;10;YES
T_HistoryEKStaffel;LieferTage;8;int;;10;YES
