ServerName;DatabaseName;SQLServerVersion;QueryExecutedAt
----------;------------;----------------;---------------
AOVIA1VMS006;AlplaPROD_aovia3;Microsoft SQL Server 2022 (RTM-CU24) (KB5080999) - 16.0.4245.2 (X64) 
	Feb 25 2026 15:01:38 
	Copyright (C) 2022 Microsoft Corporation
	Standard Edition (64-bit) on Windows Server 2022 Standard 10.0 <X64> (Build 20348: ) (Hypervisor)
;2026-05-29 21:29:45.447

(1 rows affected)
SchemaName;SchemaId
----------;--------
AlplaAPP;5
AlplaREPORTBUDGET;6
db_accessadmin;16385
db_backupoperator;16389
db_datareader;16390
db_datawriter;16391
db_ddladmin;16387
db_denydatareader;16392
db_denydatawriter;16393
db_owner;16384
db_securityadmin;16386
dbo;1

(12 rows affected)
SchemaName;TableName;ApproxRowCount;CreatedDate;LastModifiedDate
dbo;T_EAIJournalEx;0;2023-09-14 17:03:54.900;2023-09-14 17:03:54.900
dbo;T_EAIJournalLayout;0;2023-09-14 17:03:53.287;2026-05-20 12:09:06.413
dbo;T_EAIJournalLeistungsPosition;0;2023-09-14 17:03:51.517;2026-05-20 12:09:06.577
dbo;T_EAIJournalLeistungsVorlageZuordnung;0;2023-09-14 17:03:52.880;2026-05-20 12:09:06.467
dbo;T_EAIJournalLieferPosition;0;2023-09-14 17:03:51.250;2026-05-20 12:09:06.553
dbo;T_EAIJournalPosition;8452;2023-09-14 17:03:51.237;2026-05-20 12:09:07.073
dbo;T_EAIJournalSynch;9416;2023-09-14 17:03:53.103;2026-05-20 12:09:06.650
dbo;T_EAIJournalText;0;2023-09-14 17:03:52.093;2026-05-20 12:09:06.700
dbo;T_EAIJournalTextPosition;0;2023-09-14 17:03:54.907;2026-05-20 12:09:06.707
dbo;T_EAIJournalTextVorlageZuordnung;0;2023-09-14 17:03:52.950;2026-05-20 12:09:06.723
dbo;T_EAIJournalWarenPosition;8452;2023-09-14 17:03:51.207;2026-05-20 12:09:07.337
dbo;T_EAIKundenAbrufBestaetigungen;0;2023-09-14 17:03:52.937;2026-05-20 12:09:06.857
dbo;T_EAIKundenAbrufe;0;2023-09-14 17:03:51.330;2026-05-20 12:09:06.903
dbo;T_EAIKundenBestand;0;2023-09-14 17:03:54.260;2026-05-20 12:09:06.933
dbo;T_EAIMandanten;0;2023-09-14 17:03:54.913;2026-05-20 12:09:07.227
dbo;T_EAIPrognosen;0;2023-09-14 17:03:50.037;2026-05-20 12:09:07.027
dbo;T_EDIDifferenzen;0;2023-09-14 17:03:53.800;2026-05-20 12:09:07.020
dbo;T_EDIDokumente;3653;2023-09-14 17:03:52.267;2026-05-20 12:09:07.140
dbo;T_EDIDokumentPositionen;4007;2023-09-14 17:03:52.260;2026-05-20 12:09:07.190
dbo;T_EDIKonfigurationen;6;2023-09-14 17:03:51.373;2026-05-20 12:09:07.123
dbo;T_EDIPositionDetails;58119;2023-09-14 17:03:52.850;2026-05-20 12:09:07.207
dbo;T_EDIRouting;6;2023-09-14 17:03:51.367;2026-05-20 12:09:07.227
dbo;T_EDIUpload;2625;2023-09-14 17:03:53.090;2026-05-20 12:09:07.283
dbo;T_EingesetzteRessourcen;0;2023-09-14 17:03:53.650;2026-05-20 12:09:07.353
dbo;T_EinkaufsPreise;0;2023-09-14 17:03:49.040;2026-05-20 12:09:07.447
dbo;T_EntladeAuftraege;0;2023-09-14 17:03:54.047;2026-05-20 12:09:07.540
dbo;T_EntladePlanungen;0;2023-09-14 17:03:53.493;2026-05-20 12:09:07.583
dbo;T_EntladePositionen;0;2023-09-14 17:03:53.490;2026-05-20 12:09:07.613
dbo;T_EtikettenDefault;5;2023-09-14 17:03:54.920;2026-05-20 12:09:07.813
dbo;T_EtikettenDrucker;3;2023-09-14 17:03:49.260;2026-05-20 12:09:07.703
dbo;T_EtikettenDruckJobs;0;2023-09-14 17:03:54.693;2026-05-20 12:09:08.403
dbo;T_EtikettenDruckJobsSystem;0;2023-09-14 17:03:54.930;2026-05-20 12:09:07.850
dbo;T_EtikettenDummy;0;2023-09-14 17:03:54.217;2026-05-20 12:09:07.843
dbo;T_EtikettenGedruckt;26;2023-09-14 17:03:50.677;2026-05-20 12:09:08.190
dbo;T_EtikettenGemappt;55171;2023-09-14 17:03:50.223;2026-05-20 12:09:08.133
dbo;T_EtikettenHistorie;55199;2023-09-14 17:03:51.270;2026-05-20 12:09:07.993
dbo;T_EtikettenLayouts;6;2023-09-14 17:03:50.727;2026-05-20 12:09:08.003
dbo;T_EtikettenLog;0;2023-09-14 17:03:52.197;2026-05-20 12:09:08.040
dbo;T_EtikettenPalettenKartons;0;2023-09-14 17:03:51.890;2026-05-20 12:09:08.047
dbo;T_EtikettenSperrgruende;1;2023-09-14 17:03:51.170;2026-05-20 12:09:08.090
dbo;T_EtikettenVerworfen;0;2023-09-14 17:03:52.993;2026-05-20 12:09:08.407
dbo;T_ExportInventurAbweichungen;0;2023-09-14 17:03:54.933;2026-05-20 12:09:08.193
dbo;T_ExportLagerBestand;0;2023-09-14 17:03:54.940;2026-05-20 12:09:08.233
dbo;T_ExportLagerDauer;0;2023-09-14 17:03:54.943;2026-05-20 12:09:08.257
dbo;T_ExportPalettenBewegungenLager;0;2023-09-14 17:03:54.957;2026-05-20 12:09:08.260
dbo;T_ExportPalettenBewegungenLKW;0;2023-09-14 17:03:54.950;2026-05-20 12:09:08.287
dbo;T_ExportPalettenBewegungenProduktion;0;2023-09-14 17:03:54.960;2026-05-20 12:09:08.313
dbo;T_ExportSchnittstellen;1;2023-09-14 17:03:54.967;2026-05-20 12:09:08.360
dbo;T_ExportVerpackungskosten;0;2023-09-14 17:03:54.977;2026-05-20 12:09:08.373
dbo;T_ExportVerpackungsVerhaeltnisse;0;2023-09-14 17:03:54.970;2026-05-20 12:09:08.407
dbo;T_ExternalConfigurationStore;0;2023-09-14 17:03:54.980;2024-11-11 14:22:18.510
dbo;T_ExterneTools;2;2023-09-14 17:03:53.210;2026-05-20 12:09:08.443
dbo;T_ExterneToolsModule;6;2023-09-14 17:03:53.740;2026-05-20 12:09:08.450
dbo;T_Farben;15;2023-09-14 17:03:49.883;2026-05-20 12:09:08.493
dbo;T_Farbencode;19;2023-09-14 17:03:52.127;2026-05-20 12:09:08.490
dbo;T_Farbkategorien;32;2023-09-14 17:03:52.190;2026-05-20 12:09:08.540
dbo;T_FeatureSwitch;8;2023-09-14 17:03:53.847;2026-05-20 12:09:08.567
dbo;T_FeldText;0;2023-09-14 17:03:55.017;2026-05-20 12:09:08.650
dbo;T_Fertigungsmittel;155;2023-09-14 17:03:49.580;2026-05-20 12:09:08.740
dbo;T_FertigungsmittelAdditive;16;2023-09-14 17:03:50.167;2026-05-20 12:09:08.670
dbo;T_FertigungsmittelGruppen;86;2023-09-14 17:03:51.840;2026-05-20 12:09:08.697
dbo;T_FibuKonten;14;2023-09-14 17:03:50.160;2026-05-20 12:09:08.730
dbo;T_FuellLinien;0;2023-09-14 17:03:53.370;2026-05-20 12:09:08.757
dbo;T_FuellLose;0;2023-09-14 17:03:53.050;2026-05-20 12:09:08.830
dbo;T_FuellLose_ProdPlanung;0;2023-09-14 17:03:53.750;2026-05-20 12:09:08.797
dbo;T_FuellLoseJeProdTag;0;2023-09-14 17:03:53.697;2026-05-20 12:09:08.867
dbo;T_FuellLosHistorie;0;2023-09-14 17:03:54.750;2026-05-20 12:09:08.950
dbo;T_GravurNummern;1668;2023-09-14 17:03:50.703;2026-05-20 12:09:08.900
dbo;T_HistorieProtokoll;0;2023-09-14 17:03:55.020;2026-05-20 12:09:08.923
dbo;T_HistoryEK;270;2023-09-14 17:03:49.603;2026-05-20 12:09:09.047
dbo;T_HistoryEKImport;0;2023-09-14 17:03:51.830;2026-05-20 12:09:09.030
dbo;T_HistoryEKKunden;0;2023-09-14 17:03:53.010;2026-05-20 12:09:09.053
