TableName;ApproxRowCount;ColumnCount
---------;--------------;-----------
T_AuftragsAbrufeHistorie;GelieferteMengeVPK;25;float;NULL;53;NULL;YES
T_AuftragsAbrufeHistorie;LetztesLieferDatum;26;datetime;NULL;NULL;NULL;YES
T_AuftragsAbrufeHistorie;Add_User;27;nvarchar;50;NULL;NULL;YES
T_AuftragsAbrufeHistorie;Add_Date;28;datetime;NULL;NULL;NULL;YES
T_AuftragsAbrufeHistorie;Upd_User;29;nvarchar;50;NULL;NULL;YES
T_AuftragsAbrufeHistorie;Upd_Date;30;datetime;NULL;NULL;NULL;YES
T_AuftragsAbrufeHistorie;PreisGueltigAb;31;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;ToleranzTyp;32;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;IdAuftragsBest;33;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;PreisProEinheit;34;float;NULL;53;NULL;YES
T_AuftragsAbrufeHistorie;Typ;35;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;KdArtNr;36;nvarchar;100;NULL;NULL;YES
T_AuftragsAbrufeHistorie;KdArtBez;37;nvarchar;100;NULL;NULL;YES
T_AuftragsAbrufeHistorie;IdLieferkondition;38;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;LieferkonditionBez;39;nvarchar;250;NULL;NULL;YES
T_AuftragsAbrufeHistorie;IdZahlKond;40;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;IdAuftragsBestText;41;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;AuftragsBestText;42;nvarchar;1024;NULL;NULL;YES
T_AuftragsAbrufeHistorie;IdLieferscheinText;43;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;LieferscheinText;44;nvarchar;1024;NULL;NULL;YES
T_AuftragsAbrufeHistorie;IdRechnungText;45;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;RechnungText;46;nvarchar;1024;NULL;NULL;YES
T_AuftragsAbrufeHistorie;PlanStatus;47;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;AbrufLadeDatum;48;datetime;NULL;NULL;NULL;YES
T_AuftragsAbrufeHistorie;Guid;49;uniqueidentifier;NULL;NULL;NULL;YES
T_AuftragsAbrufeHistorie;AenderungsTyp;50;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;AenderungsTypBez;51;nvarchar;20;NULL;NULL;YES
T_EAIKundenAbrufBestaetigungen;IdEAIKundenAbrufBestaetigungen;1;int;NULL;10;0;NO
T_EAIKundenAbrufBestaetigungen;KundeNr;2;nvarchar;100;NULL;NULL;NO
T_EAIKundenAbrufBestaetigungen;KdArtNr;3;nvarchar;100;NULL;NULL;NO
T_EAIKundenAbrufBestaetigungen;KundeAbrufNr;4;nvarchar;100;NULL;NULL;NO
T_EAIKundenAbrufBestaetigungen;AbrufNr;5;nvarchar;100;NULL;NULL;NO
T_EAIKundenAbrufBestaetigungen;Menge;6;float;NULL;53;NULL;NO
T_EAIKundenAbrufBestaetigungen;MengeVPK;7;float;NULL;53;NULL;NO
T_EAIKundenAbrufBestaetigungen;Bedarfsdatum;8;datetime;NULL;NULL;NULL;NO
T_EAIKundenAbrufBestaetigungen;Status;9;int;NULL;10;0;NO
T_EAIKundenAbrufBestaetigungen;Add_User;10;nvarchar;50;NULL;NULL;NO
T_EAIKundenAbrufBestaetigungen;Add_Date;11;datetime;NULL;NULL;NULL;NO
T_EAIKundenAbrufBestaetigungen;Upd_User;12;nvarchar;50;NULL;NULL;YES
T_EAIKundenAbrufBestaetigungen;Upd_Date;13;datetime;NULL;NULL;NULL;YES
T_EAIKundenAbrufe;IdEAIKundenAbrufe;1;int;NULL;10;0;NO
T_EAIKundenAbrufe;KundeAuftragsNr;2;nvarchar;100;NULL;NULL;NO
T_EAIKundenAbrufe;KundeAbrufNr;3;nvarchar;100;NULL;NULL;NO
T_EAIKundenAbrufe;KundeNr;4;nvarchar;100;NULL;NULL;NO
T_EAIKundenAbrufe;KundeBez;5;nvarchar;100;NULL;NULL;NO
T_EAIKundenAbrufe;KdArtNr;6;nvarchar;100;NULL;NULL;NO
T_EAIKundenAbrufe;KdArtBez;7;nvarchar;100;NULL;NULL;NO
T_EAIKundenAbrufe;Menge;8;float;NULL;53;NULL;NO
T_EAIKundenAbrufe;MengeVPK;9;float;NULL;53;NULL;NO
T_EAIKundenAbrufe;Bedarfsdatum;10;datetime;NULL;NULL;NULL;NO
T_EAIKundenAbrufe;Status;11;int;NULL;10;0;NO
T_EAIKundenAbrufe;Add_User;12;nvarchar;50;NULL;NULL;NO
T_EAIKundenAbrufe;Add_Date;13;datetime;NULL;NULL;NULL;NO
T_EAIKundenAbrufe;Upd_User;14;nvarchar;50;NULL;NULL;YES
T_EAIKundenAbrufe;Upd_Date;15;datetime;NULL;NULL;NULL;YES
T_EntladeAuftraege;IdEntladeAuftrag;1;int;NULL;10;0;NO
T_EntladeAuftraege;EntladeDatum;2;datetime;NULL;NULL;NULL;NO
T_EntladeAuftraege;IdRampe;3;int;NULL;10;0;NO
T_EntladeAuftraege;IdSpediteur;4;int;NULL;10;0;NO
T_EntladeAuftraege;LKWNummer;5;nvarchar;50;NULL;NULL;NO
T_EntladeAuftraege;LKWBezeichnung;6;nvarchar;50;NULL;NULL;NO
T_EntladeAuftraege;IdStapler;7;int;NULL;10;0;NO
T_EntladeAuftraege;IdScanner;8;int;NULL;10;0;NO
T_EntladeAuftraege;Status;9;int;NULL;10;0;NO
T_EntladeAuftraege;Bemerkung;10;nvarchar;250;NULL;NULL;NO
T_EntladeAuftraege;Add_User;11;nvarchar;50;NULL;NULL;NO
T_EntladeAuftraege;Add_Date;12;datetime;NULL;NULL;NULL;NO
T_EntladeAuftraege;Upd_User;13;nvarchar;50;NULL;NULL;YES
T_EntladeAuftraege;Upd_Date;14;datetime;NULL;NULL;NULL;YES
T_EntladePlanungen;IdEntladePlanung;1;int;NULL;10;0;NO
T_EntladePlanungen;IdEntladeAuftrag;2;int;NULL;10;0;NO
T_EntladePlanungen;IdRetourware;3;int;NULL;10;0;NO
T_EntladePlanungen;IdKonto;4;int;NULL;10;0;NO
T_EntladePlanungen;SollMenge;5;float;NULL;53;NULL;NO
T_EntladePlanungen;SollMengeVPK;6;float;NULL;53;NULL;NO
T_EntladePlanungen;Status;7;int;NULL;10;0;NO
T_EntladePlanungen;Bemerkung;8;nvarchar;250;NULL;NULL;NO
T_EntladePlanungen;Add_User;9;nvarchar;50;NULL;NULL;NO
T_EntladePlanungen;Add_Date;10;datetime;NULL;NULL;NULL;NO
T_EntladePlanungen;Upd_User;11;nvarchar;50;NULL;NULL;YES
T_EntladePlanungen;Upd_Date;12;datetime;NULL;NULL;NULL;YES
T_EntladePositionen;IdEntladePosition;1;int;NULL;10;0;NO
T_EntladePositionen;IdEntladePlanung;2;int;NULL;10;0;NO
T_EntladePositionen;EntladeDatum;3;datetime;NULL;NULL;NULL;NO
T_EntladePositionen;IdKonto;4;int;NULL;10;0;NO
T_EntladePositionen;IstMenge;5;float;NULL;53;NULL;NO
T_EntladePositionen;IstMengeVPK;6;float;NULL;53;NULL;NO
T_EntladePositionen;Barcode;7;nvarchar;50;NULL;NULL;NO
T_EntladePositionen;Beleg;8;nvarchar;50;NULL;NULL;NO
T_EntladePositionen;Add_User;9;nvarchar;50;NULL;NULL;NO
T_EntladePositionen;Add_Date;10;datetime;NULL;NULL;NULL;NO
T_EntladePositionen;Upd_User;11;nvarchar;50;NULL;NULL;YES
T_EntladePositionen;Upd_Date;12;datetime;NULL;NULL;NULL;YES
T_ExportPalettenBewegungenLKW;LfdNr;1;int;NULL;10;0;NO
T_ExportPalettenBewegungenLKW;Datum;2;datetime;NULL;NULL;NULL;NO
T_ExportPalettenBewegungenLKW;Anzahl;3;int;NULL;10;0;NO
T_ExportPalettenBewegungenLKW;Add_User;4;nvarchar;50;NULL;NULL;NO
T_ExportPalettenBewegungenLKW;Add_Date;5;datetime;NULL;NULL;NULL;NO
T_ExportPalettenBewegungenLKW;Upd_User;6;nvarchar;50;NULL;NULL;NO
T_ExportPalettenBewegungenLKW;Upd_Date;7;datetime;NULL;NULL;NULL;NO
T_HistoryTransportkosten;IdHistoryTransportkosten;1;int;NULL;10;0;NO
T_HistoryTransportkosten;IdLieferadresse;2;int;NULL;10;0;NO
T_HistoryTransportkosten;IdSpediteuradresse;3;int;NULL;10;0;NO
T_HistoryTransportkosten;IdLKWTyp;4;int;NULL;10;0;NO
T_HistoryTransportkosten;GueltigabDatum;5;datetime;NULL;NULL;NULL;NO
T_HistoryTransportkosten;Einzelfahrtkosten;6;float;NULL;53;NULL;NO
T_HistoryTransportkosten;Rundfahrtkosten;7;float;NULL;53;NULL;NO
T_HistoryTransportkosten;EinzelfahrtkostenProKubikmeter;8;float;NULL;53;NULL;NO
T_HistoryTransportkosten;RundfahrtkostenProKubikmeter;9;float;NULL;53;NULL;NO
T_HistoryTransportkosten;Standard;10;int;NULL;10;0;NO
T_HistoryTransportkosten;Aktiv;11;int;NULL;10;0;NO
T_HistoryTransportkosten;Add_User;12;nvarchar;50;NULL;NULL;NO
T_HistoryTransportkosten;Add_Date;13;datetime;NULL;NULL;NULL;NO
T_HistoryTransportkosten;Upd_User;14;nvarchar;50;NULL;NULL;YES
T_HistoryTransportkosten;Upd_Date;15;datetime;NULL;NULL;NULL;YES
T_HistoryTransportkosten;FWEinzelfahrtkosten;16;float;NULL;53;NULL;NO
T_HistoryTransportkosten;FWRundfahrtkosten;17;float;NULL;53;NULL;NO
T_HistoryTransportkosten;FWEinzelfahrtkostenProKubikmeter;18;float;NULL;53;NULL;NO
T_HistoryTransportkosten;FWRundfahrtkostenProKubikmeter;19;float;NULL;53;NULL;NO
T_KundenAbrufBestaetigungen;IdKundenAbrufBestaetigungen;1;int;NULL;10;0;NO
T_KundenAbrufBestaetigungen;IdEAIKundenAbrufBestaetigungen;2;int;NULL;10;0;NO
T_KundenAbrufBestaetigungen;IdArtikelvariante;3;int;NULL;10;0;NO
T_KundenAbrufBestaetigungen;IdAdresse;4;int;NULL;10;0;NO
T_KundenAbrufBestaetigungen;KundeNr;5;nvarchar;100;NULL;NULL;NO
T_KundenAbrufBestaetigungen;KdArtNr;6;nvarchar;100;NULL;NULL;NO
T_KundenAbrufBestaetigungen;KundeAbrufNr;7;nvarchar;100;NULL;NULL;NO
T_KundenAbrufBestaetigungen;AbrufNr;8;nvarchar;100;NULL;NULL;NO
T_KundenAbrufBestaetigungen;Menge;9;float;NULL;53;NULL;NO
T_KundenAbrufBestaetigungen;Status;10;int;NULL;10;0;NO
T_KundenAbrufBestaetigungen;Bedarfsdatum;11;datetime;NULL;NULL;NULL;NO
T_KundenAbrufBestaetigungen;IdVpkVorschrift;12;int;NULL;10;0;NO
T_KundenAbrufBestaetigungen;IdHauptmaterial;13;int;NULL;10;0;NO
T_KundenAbrufBestaetigungen;MengeVPK;14;float;NULL;53;NULL;NO
T_KundenAbrufBestaetigungen;ImportNummer;15;int;NULL;10;0;NO
T_KundenAbrufBestaetigungen;ImportDatum;16;datetime;NULL;NULL;NULL;NO
T_KundenAbrufBestaetigungen;ImportText;17;nvarchar;50;NULL;NULL;YES
T_KundenAbrufBestaetigungen;Add_User;18;nvarchar;50;NULL;NULL;NO
T_KundenAbrufBestaetigungen;Add_Date;19;datetime;NULL;NULL;NULL;NO
T_KundenAbrufBestaetigungen;Upd_User;20;nvarchar;50;NULL;NULL;YES
T_KundenAbrufBestaetigungen;Upd_Date;21;datetime;NULL;NULL;NULL;YES
T_KundenAbrufBestaetigungen;IdEDIDokumentPosition;22;int;NULL;10;0;YES
T_KundenAbrufe;IdKundenAbrufe;1;int;NULL;10;0;NO
T_KundenAbrufe;KundeAuftragsNr;2;nvarchar;100;NULL;NULL;NO
T_KundenAbrufe;KundeAbrufNr;3;nvarchar;100;NULL;NULL;NO
T_KundenAbrufe;IdEAIKundenAbrufe;4;int;NULL;10;0;NO
T_KundenAbrufe;IdArtikelvariante;5;int;NULL;10;0;NO
T_KundenAbrufe;IdAdresse;6;int;NULL;10;0;NO
T_KundenAbrufe;IdVpkVorschrift;7;int;NULL;10;0;NO
T_KundenAbrufe;IdHauptmaterial;8;int;NULL;10;0;NO
T_KundenAbrufe;Menge;9;float;NULL;53;NULL;NO
T_KundenAbrufe;MengeVPK;10;float;NULL;53;NULL;NO
T_KundenAbrufe;Status;11;int;NULL;10;0;NO
T_KundenAbrufe;Bedarfsdatum;12;datetime;NULL;NULL;NULL;NO
T_KundenAbrufe;Add_User;13;nvarchar;50;NULL;NULL;NO
T_KundenAbrufe;Add_Date;14;datetime;NULL;NULL;NULL;NO
T_KundenAbrufe;Upd_User;15;nvarchar;50;NULL;NULL;YES
T_KundenAbrufe;Upd_Date;16;datetime;NULL;NULL;NULL;YES
T_KundenAbrufe;IdProdPlanung;17;int;NULL;10;0;YES
T_KundenAbrufe;IstHistorie;18;int;NULL;10;0;YES
T_KundenAbrufe;MengeHistorie;19;float;NULL;53;NULL;NO
T_KundenAbrufe;MengeVPKHistorie;20;float;NULL;53;NULL;NO
T_KundenAbrufe;IdSchicht;21;int;NULL;10;0;YES
T_KundenAbrufe;ImportNummer;22;int;NULL;10;0;YES
T_KundenAbrufe;IdAuftragsAbruf;23;int;NULL;10;0;YES
T_KundenAbrufe;ImportDatum;24;datetime;NULL;NULL;NULL;YES
T_KundenAbrufe;ImportText;25;nvarchar;50;NULL;NULL;YES
T_KundenAbrufe;Menge_alt;26;float;NULL;53;NULL;YES
T_KundenAbrufe;Bedarfsdatum_alt;27;datetime;NULL;NULL;NULL;YES
T_KundenAbrufe;AenderungsTyp;28;int;NULL;10;0;YES
T_KundenAbrufe;IdEDIDokumentPosition;29;int;NULL;10;0;YES
T_KundenAbrufe;ImportDatum_alt;30;datetime;NULL;NULL;NULL;YES
T_KundenAbrufe;EdiImportStatus;31;int;NULL;10;0;YES
T_KundenAbrufe;EdiImportPlausiKategorie;32;int;NULL;10;0;YES
T_KundenAbrufe;EdiImportPlausi;33;int;NULL;10;0;YES
T_KundenAbrufe;EdiAbrufMenge;34;float;NULL;53;NULL;YES
T_KundenAbrufe;EdiAbrufMengeVPK;35;float;NULL;53;NULL;YES
T_KundenAbrufe;EdiAbrufLiefertermin;36;datetime;NULL;NULL;NULL;YES
T_KundenAbrufe;EdiImportAkzeptanz;37;int;NULL;10;0;YES
T_KundenAbrufe;EdiIdVpkVorschrift;38;int;NULL;10;0;YES
