TABLE_SCHEMA;TABLE_NAME;COLUMN_NAME;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;IS_NULLABLE;ORDINAL_POSITION
dbo;T_Bestellpositionen;Upd_User;nvarchar;50;YES;11
dbo;T_Bestellpositionen;Upd_Date;datetime;NULL;YES;12
dbo;T_Bestellpositionen;IdMengeneinheit;int;NULL;YES;13
dbo;T_Bestellpositionen;IdPreisLogik;int;NULL;YES;14
dbo;T_Bestellpositionen;IdPreisEinheit;int;NULL;YES;15
dbo;T_Bestellpositionen;PreisProEinheit;float;NULL;YES;16
dbo;T_Bestellpositionen;IdVpkVorschrift;int;NULL;YES;17
dbo;T_Bestellpositionen;IdRahmenbestellungPosition;int;NULL;NO;18
dbo;T_Bestellpositionen;IdJournalBestellPosition;int;NULL;NO;19
dbo;T_Bestellpositionen;PositionsStatus;int;NULL;NO;20
dbo;T_Bestellpositionen;IdJournalPosition;int;NULL;YES;21
dbo;T_Bestellpositionen;IdJournal;int;NULL;YES;22
dbo;T_Bestellpositionen;JournalNummer;nvarchar;50;YES;23
dbo;T_Bestellpositionen;IdJournalWarenPosition;int;NULL;YES;24
dbo;T_Bestellpositionen;IdHauptmaterial;int;NULL;YES;25
dbo;T_Bestellpositionen;Preistyp;int;NULL;YES;26
dbo;T_Bestellpositionen;IdHistoryEKKunde;int;NULL;YES;27
dbo;T_Bestellpositionen;MinimumProzentLieferMenge;float;NULL;YES;28
dbo;T_Bestellpositionen;AXLoskennung;nvarchar;50;NO;29
dbo;T_BestellPositionenBewertungen;IdBestellPositionenBewertung;int;NULL;NO;1
dbo;T_BestellPositionenBewertungen;IdBestellPosition;int;NULL;NO;2
dbo;T_BestellPositionenBewertungen;MaterialQualitaet;int;NULL;YES;3
dbo;T_BestellPositionenBewertungen;VerpackungsQualitaet;int;NULL;NO;4
dbo;T_BestellPositionenBewertungen;MengenQualitaet;int;NULL;NO;5
dbo;T_BestellPositionenBewertungen;LieferDatumQualitaet;int;NULL;NO;6
